1.61E+04 1.59E+04 1.57E+04 1.56E+04 1.54E+04 1.52E+04 1.51E+04 1.49E+04 1.47E+04 1.46E+04 
1.44E+04 1.42E+04 1.41E+04 1.40E+04 1.38E+04 1.37E+04 1.35E+04 1.34E+04 1.32E+04 1.31E+04 
1.29E+04 1.28E+04 1.27E+04 1.25E+04 1.24E+04 1.22E+04 1.21E+04 1.19E+04 1.18E+04 1.17E+04 
1.15E+04 1.14E+04 1.12E+04 1.11E+04 1.10E+04 1.08E+04 1.07E+04 1.05E+04 1.04E+04 1.03E+04 
1.01E+04 9.99E+03 9.85E+03 9.71E+03 9.58E+03 9.44E+03 9.31E+03 9.18E+03 9.04E+03 8.91E+03 
8.78E+03 8.65E+03 8.52E+03 8.39E+03 8.26E+03 8.13E+03 8.00E+03 7.87E+03 7.75E+03 7.62E+03 
7.49E+03 7.37E+03 7.25E+03 7.12E+03 7.00E+03 6.88E+03 6.76E+03 6.64E+03 6.52E+03 6.40E+03 
6.28E+03 6.16E+03 6.05E+03 5.93E+03 5.82E+03 5.71E+03 5.59E+03 5.48E+03 5.37E+03 5.26E+03 
5.15E+03 5.04E+03 4.94E+03 4.83E+03 4.73E+03 4.62E+03 4.52E+03 4.42E+03 4.32E+03 4.22E+03 
4.12E+03 4.02E+03 3.92E+03 3.83E+03 3.73E+03 3.64E+03 3.55E+03 3.45E+03 3.36E+03 3.28E+03 
3.19E+03 3.10E+03 3.02E+03 2.93E+03 2.85E+03 2.77E+03 2.69E+03 2.61E+03 2.53E+03 2.46E+03 
2.38E+03 2.31E+03 2.23E+03 2.16E+03 2.09E+03 2.02E+03 1.96E+03 1.89E+03 1.83E+03 1.76E+03 
1.70E+03 1.64E+03 1.58E+03 1.53E+03 1.47E+03 1.42E+03 1.36E+03 1.31E+03 1.26E+03 1.21E+03 
1.17E+03 1.12E+03 1.08E+03 1.04E+03 9.95E+02 9.56E+02 9.19E+02 8.83E+02 8.49E+02 8.17E+02 
7.86E+02 7.57E+02 7.29E+02 7.03E+02 6.79E+02 6.57E+02 6.36E+02 6.16E+02 5.98E+02 5.79E+02 
5.61E+02 5.44E+02 5.27E+02 5.11E+02 4.95E+02 4.80E+02 4.66E+02 4.52E+02 4.38E+02 4.25E+02 
4.13E+02 4.01E+02 3.90E+02 3.79E+02 3.69E+02 3.60E+02 3.51E+02 3.42E+02 3.33E+02 3.24E+02 
3.16E+02 3.07E+02 2.99E+02 2.91E+02 2.83E+02 2.75E+02 2.68E+02 2.60E+02 2.53E+02 2.45E+02 
2.38E+02 2.31E+02 2.25E+02 2.18E+02 2.12E+02 2.05E+02 1.99E+02 1.93E+02 1.87E+02 1.82E+02 
1.76E+02 1.71E+02 1.66E+02 1.60E+02 1.55E+02 1.50E+02 1.45E+02 1.41E+02 1.36E+02 1.31E+02 
1.27E+02 1.22E+02 1.18E+02 1.13E+02 1.09E+02 1.05E+02 1.00E+02 9.62E+01 9.22E+01 8.82E+01 
8.43E+01 8.05E+01 7.68E+01 7.31E+01 6.96E+01 6.61E+01 6.27E+01 5.93E+01 5.61E+01 5.29E+01 
4.99E+01 4.69E+01 4.40E+01 4.11E+01 3.84E+01 3.58E+01 3.32E+01 3.07E+01 2.83E+01 2.61E+01 
2.39E+01 2.18E+01 1.97E+01 1.78E+01 1.60E+01 1.43E+01 1.26E+01 1.11E+01 9.64E+00 8.29E+00 
7.05E+00 5.90E+00 4.85E+00 3.90E+00 3.05E+00 2.31E+00 1.67E+00 1.13E+00 6.91E-01 3.62E-01 
1.37E-01 1.93E-02 1.35E-04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
